"Показник","Територіальний розріз","Категорія розрізу","Розріз","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки часового ряду","Примітки спостереження","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"SSSU:DF_ECONOMY_STRUCTURAL_CHANGES_ENTERPRISE(11.0.0)","EP_25.UA00000000000000000.ENTERPRISE_SIZE._T._T._Z._Z.A","Розмір","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","1. Дані наведено без урахування результатів діяльності банків та бюджетних установ. 2. За 2014‒2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","364935","393327","341001","343440","306369","338256","355877","380597","373822","370834","261924","307852","285597"
"SSSU:DF_ECONOMY_STRUCTURAL_CHANGES_ENTERPRISE(11.0.0)","EP_25.UA00000000000000000._T._T._T._Z._Z.A","Усього","Усього","Усього","Річна","Одиниця","Одиниці","Нуль","","1. Дані наведено без урахування результатів діяльності банків та бюджетних установ. 2. За 2014‒2021 роки дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. 3. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","364935","393327","341001","343440","306369","338256","355877","380597","373822","370834","261924","307852","285597"
